poi_id,category_id,poi_name,description,address,lat,lon,phone,price_level,reservation_required,parking_available,source_type,external_url,is_active,last_verified_at,created_at,update_at
7832260,3,독천식당,#목포 낙지 #목포 맛집 #목포 한식 #목포역 낙지 #목포역 맛집 #목포역 한식 #삼학도 낙지 #용당동 낙지 #유달산 맛집 #죽교동 낙지,전남광주통합특별시 목포시 호남로64번길 3-1,34.7939644314421,126.385600614495,061-242-6528,1~3만원,,True,KAKAO_PLACE_SEARCH,http://place.map.kakao.com/7832260,True,2026-09-09T16:33:00+09:00,2026-09-09T16:33:00+09:00,2026-09-09T16:33:00+09:00
11892242,3,유달콩물 본점,#목포 맛집 #목포 한식 #목포역 맛집 #목포역 한식 #유달산 맛집,전남광주통합특별시 목포시 호남로58번길 23-1,34.7923502179347,126.384388812213,061-244-5234,1~3만원,,False,KAKAO_PLACE_SEARCH,http://place.map.kakao.com/11892242,True,2026-09-09T16:33:00+09:00,2026-09-09T16:33:00+09:00,2026-09-09T16:33:00+09:00
12493269,3,장터 본점,#목포 맛집 #목포 한식 #목포역 한식 #삼학도 맛집 #삼학도 한식 #유달산 맛집,전남광주통합특별시 목포시 영산로40번길 23,34.7848744820571,126.3834086162,061-244-8880,1~3만원,,False,KAKAO_PLACE_SEARCH,http://place.map.kakao.com/12493269,True,2026-09-09T16:33:00+09:00,2026-09-09T16:33:00+09:00,2026-09-09T16:33:00+09:00
15826901,3,하당먹거리,#남악 낙지 #목포 낙지 #목포 맛집 #목포 한식 #옥암 낙지 #옥암 맛집 #옥암 한식 #용해동 낙지 #평화광장 낙지 #평화광장 한식 #하당 낙지,전남광주통합특별시 목포시 신흥로 98,34.80544556208425,126.43064935858084,061-283-1738,3만원 이상,,,KAKAO_PLACE_SEARCH,http://place.map.kakao.com/15826901,True,2026-09-09T16:33:00+09:00,2026-09-09T16:33:00+09:00,2026-09-09T16:33:00+09:00
1022707287,3,씨엘비베이커리 본점,#목포 맛집 #목포 베이커리 #목포역 맛집 #목포역 베이커리 #북항 베이커리 #산정동 베이커리 #삼학도 베이커리 #용당동 베이커리 #용해동 베이커리 #유달산 맛집 #유달산 베이커리 #죽교동 베이커리,전남광주통합특별시 목포시 영산로75번길 14,34.79036033602874,126.38446806542127,061-242-2161,1~3만원,,,KAKAO_PLACE_SEARCH,http://place.map.kakao.com/1022707287,True,2026-09-09T16:33:00+09:00,2026-09-09T16:33:00+09:00,2026-09-09T16:33:00+09:00
418757939,4,석산,#목포 맛집 #목포 카페 #북항 카페 #유달산 카페 #죽교동 맛집 #죽교동 카페,전남광주통합특별시 목포시 고하대로 588,34.8018253614423,126.365719241277,1533-2302,1~3만원,,,KAKAO_PLACE_SEARCH,http://place.map.kakao.com/418757939,True,2026-09-09T16:33:00+09:00,2026-09-09T16:33:00+09:00,2026-09-09T16:33:00+09:00
9566326,3,88포장마차 본점,#목포 맛집 #용당동 맛집,전남광주통합특별시 목포시 영산로329번길 3-1,34.80625816515641,126.40125504779002,061-276-8248,1~3만원,,,KAKAO_PLACE_SEARCH,http://place.map.kakao.com/9566326,True,2026-09-09T16:33:00+09:00,2026-09-09T16:33:00+09:00,2026-09-09T16:33:00+09:00
11684688,3,명인집 하당점,#남악 홍어 #목포 낙지 #목포 맛집 #목포 한식 #목포 홍어 #옥암 홍어 #용해동 낙지 #용해동 홍어 #평화광장 낙지 #평화광장 홍어 #하당 낙지 #하당 홍어,전남광주통합특별시 목포시 하당로30번길 14,34.798861875914945,126.42225862940062,061-245-8808,3만원 이상,,True,KAKAO_PLACE_SEARCH,http://place.map.kakao.com/11684688,True,2026-09-09T16:33:00+09:00,2026-09-09T16:33:00+09:00,2026-09-09T16:33:00+09:00
9256956,3,영암식당,#남악 떡갈비 #목포 고기 #목포 떡갈비 #목포 맛집 #목포 소고기 #목포역 고기 #목포역 떡갈비 #목포역 맛집 #목포역 소고기 #목포역 한식 #북항 떡갈비 #산정동 떡갈비 #삼학도 고기 #삼학도 떡갈비 #삼학도 소고기 #옥암 떡갈비 #용당동 떡갈비 #용당동 소고기 #용해동 떡갈비 #유달산 떡갈비 #유달산 맛집 #죽교동 고기 #죽교동 떡갈비 #죽교동 소고기 #하당 떡갈비,전남광주통합특별시 목포시 마인계터로15번길 23,34.7924915060669,126.382386011584,061-244-2367,,,,KAKAO_PLACE_SEARCH,http://place.map.kakao.com/9256956,True,2026-09-09T16:33:00+09:00,2026-09-09T16:33:00+09:00,2026-09-09T16:33:00+09:00
1266539656,3,긴자회수산,#남악 낙지 #남악 데이트 #남악 횟집 #목포 낙지 #목포 데이트 #목포 맛집 #목포 한식 #목포 횟집 #산정동 데이트 #옥암 낙지 #옥암 데이트 #옥암 횟집 #용당동 데이트 #용해동 데이트 #평화광장 낙지 #평화광장 데이트 #평화광장 맛집 #평화광장 한식 #평화광장 횟집 #하당 데이트 #하당 횟집,전남광주통합특별시 목포시 미항로 151,34.79758754722197,126.4361495490622,061-281-0210,,,,KAKAO_PLACE_SEARCH,http://place.map.kakao.com/1266539656,True,2026-09-09T16:33:00+09:00,2026-09-09T16:33:00+09:00,2026-09-09T16:33:00+09:00
520387007,4,커피창고로,#목포 맛집 #목포 카페 #평화광장 맛집 #평화광장 카페,전남광주통합특별시 목포시 평화로 51,34.79567619333672,126.4306444059819,061-284-7439,1만원 이하,,,KAKAO_PLACE_SEARCH,http://place.map.kakao.com/520387007,True,2026-09-09T16:33:00+09:00,2026-09-09T16:33:00+09:00,2026-09-09T16:33:00+09:00
9982671,3,태동반점,#목포 맛집 #목포 중식 #목포역 국밥 #목포역 맛집 #목포역 중식 #북항 중식 #산정동 중식 #삼학도 국밥 #삼학도 중식 #용당동 중식 #유달산 국밥 #유달산 맛집 #유달산 중식 #죽교동 중식,전남광주통합특별시 목포시 마인계터로40번길 10-1,34.78999360301458,126.38342624022395,061-243-3351,1만원 이하,,,KAKAO_PLACE_SEARCH,http://place.map.kakao.com/9982671,True,2026-09-09T16:33:00+09:00,2026-09-09T16:33:00+09:00,2026-09-09T16:33:00+09:00
26425111,3,해빔 목포본점,#남악 낙지 #목포 낙지 #목포 맛집 #목포 한식 #목포 혼밥 맛집 #옥암 혼밥 맛집 #평화광장 낙지 #평화광장 맛집 #평화광장 한식 #평화광장 혼밥 맛집,전남광주통합특별시 목포시 미항로 83,34.794630516859044,126.43005498536073,061-282-2770,1~3만원,,,KAKAO_PLACE_SEARCH,http://place.map.kakao.com/26425111,True,2026-09-09T16:33:00+09:00,2026-09-09T16:33:00+09:00,2026-09-09T16:33:00+09:00
